Asset1,Asset2,Asset3,Date
-0.04668439134858461,0.04186904445949575,-0.004891881555967003,2023-04-12
-0.0902077757553265,0.015082158621700665,-0.03194501285699977,2023-04-13
-0.04739393668442297,-0.14586396524252693,0.0534732185549182,2023-04-14
-0.05366999653066258,0.01018007915285299,-0.04250979752827561,2023-04-15
0.048935739839794316,-0.03417086259258748,-0.14117519064818562,2023-04-16
-0.044260176741274124,0.0029519395112630083,-0.023342121020151048,2023-04-17
-0.01866055091813908,0.01749930782570752,-0.03983978861194497,2023-04-18
-0.04114960580654169,0.07156715798101954,0.004125448780735432,2023-04-19
-0.016396670698011827,-0.029712952557722286,0.08472090430199487,2023-04-20
-0.02370881106154535,0.06408905047120046,0.07943410752440934,2023-04-21
0.05399894243390533,0.04400518637757505,0.034505870602514,2023-04-22
0.0007885927467276561,-0.0974961216119764,0.04918692712623072,2023-04-23
-0.04288280519750846,-0.06253278380006022,-0.09474942429930204,2023-04-24
0.14576923904963734,-0.011966785110772172,0.05786342130193118,2023-04-25
-0.03677457993429487,0.007430123465694061,0.012493506186113506,2023-04-26
-0.1330804019260585,-0.024781683416481855,0.08386690963713057,2023-04-27
-0.0480143208136454,0.03176297598165161,-0.03612570085720975,2023-04-28
0.0010545008551371955,-0.021140943929714454,-0.1467805903519732,2023-04-29
-0.08745944148302107,0.024414538558322107,0.016927542633066697,2023-04-30
-0.035253575658301985,0.014317021192435251,-0.007446551732877985,2023-05-01
