Price1,Price2,Price3,Date
94.18333357149022,100.32841625677236,105.19470745412639,2023-04-12
96.70446572039079,106.16569570680723,107.09869650645142,2023-04-13
95.36197829114757,102.31837673089173,,2023-04-14
96.16966630001131,104.48854932256593,106.30671688756179,2023-04-15
96.81971392102099,106.47532525146865,107.04395736714551,2023-04-16
96.54269318893421,105.53005925032859,106.72540705454294,2023-04-17
96.06709516049452,106.0505852776182,106.9574686490467,2023-04-18
96.24478042881962,103.92033597704331,105.39492438925767,2023-04-19
95.95096494294597,104.49446076314183,106.03326975929083,2023-04-20
95.499919260427,103.50531456886013,106.40658276949978,2023-04-21
96.03854105321582,105.24738741851478,106.76516864194438,2023-04-22
96.67230009754748,106.54571731259327,107.32881344062402,2023-04-23
96.57499983704338,105.51580974940379,106.71727879226248,2023-04-24
97.14643059775305,108.31074374503608,107.48966680965192,2023-04-25
,,105.93291414473579,2023-04-26
96.07552883723677,105.60569136279103,107.33124568686047,2023-04-27
95.60916906489807,104.58465973569625,106.32485386464528,2023-04-28
95.32815597373263,103.03857997091588,106.24905539661466,2023-04-29
,103.10045346906314,106.17600189204317,2023-04-30
95.83206142005061,,,2023-05-01
